_key,lat,lng
601177,31.7546282,-82.3563779
601195,31.7231453,-82.3398906
601277,31.7546733,-82.3538567
602103,31.3209753,-82.8500112
602111,31.3209753,-82.8500112
602187,31.3379996,-83.0531696
602190,31.3004156,-82.8531864
603102,31.5591655,-82.4792524
603202,31.5228865,-82.4583601
603302,31.5478958,-82.4610593
604105,31.310212,-84.3441617
605100,33.0806377,-83.2697256
605189,33.0720676,-83.2584489
605300,33.0865664,-83.2614817
605301,33.0799486,-83.2714293
605302,33.0801767,-83.2685801
605303,33.0192797,-83.2278226
606105,34.3149712,-83.4803759
606107,34.3307786,-83.5080199
606199,34.3082408,-83.4984395
606205,34.3312797,-83.5095297
607101,33.948815,-83.78646
607105,34.0262758,-83.7385903
607106,33.9476596,-83.7893625
607114,33.9691866,-83.5881046
607189,33.9762937,-83.7585059
607193,34.0380012,-83.8092619
607198,33.9780065,-83.7614927
607205,33.9224047,-83.7191664
607289,34.0055274,-83.7346894
607298,33.9495938,-83.7898601
607299,34.0044243,-83.7359668
608101,34.1460504,-84.9283428
608104,34.2880317,-84.8664842
608105,34.3391779,-84.917721
608106,34.3411993,-84.7487763
608107,34.147817,-84.9276423
608114,34.2821708,-84.762565
608115,34.2043038,-84.7437146
608175,34.2783472,-84.7629107
608177,34.369295,-84.9376914
608186,34.1621202,-84.8798373
608190,34.1209607,-84.7650123
608195,34.2395005,-84.8695785
608196,34.1178758,-84.6699379
608198,34.1205795,-84.8339838
608296,34.2137008,-84.9356139
608301,34.0438103,-84.6557701
608377,34.2392658,-84.8661236
608396,34.10867,-84.9464324
609111,31.7425375,-83.2589639
609196,31.7655874,-83.255786
609291,31.7091638,-83.2614726
609296,31.7608199,-83.2594656
610101,31.2189355,-83.2444467
610106,31.2718573,-83.2059062
610194,31.2122849,-83.2638978
610195,31.2115419,-83.2633123
611103,32.751035,-83.7575669
611104,32.8531638,-83.6132246
611105,32.9030213,-83.7721113
611108,32.8190088,-83.6578667
611109,32.7987955,-83.6514753
611117,32.9391477,-83.728049
611186,32.8374751,-83.6567863
611198,32.81577,-83.750035
611203,32.8445294,-83.655706
611204,32.7362456,-83.7157414
611205,32.9048802,-83.7727248
611286,32.8665179,-83.6213102
611298,32.8388547,-83.6580329
611305,32.7382009,-83.7167811
611383,32.8454101,-83.646788
611386,32.8075165,-83.6753989
611405,32.8760178,-83.6779766
611505,32.8250979,-83.742565
611605,32.8428125,-83.7582132
611705,32.8366096,-83.7232343
611805,32.8341776,-83.6898226
612105,32.4005893,-83.3287538
612112,32.411001,-83.3224048
612115,32.4100911,-83.3210263
612197,32.404435,-83.3298397
613101,31.2268521,-81.7907487
613110,31.1906792,-81.8225216
613194,31.1932855,-82.0251321
613294,31.1953525,-81.9851822
614110,30.8102848,-83.5638069
614193,30.815973,-83.5631461
614197,30.8146735,-83.5658043
614393,30.9335874,-83.5151782
614394,30.7997176,-83.5773507
615101,31.9374443,-81.312692
615182,31.9256491,-81.3162599
615199,31.8481155,-81.3121762
615202,31.9392285,-81.3113753
615282,32.142746,-81.5275817
615286,32.14988,-81.6073041
615302,31.9367858,-81.3133798
615402,32.1491574,-81.6084307
615502,32.1496191,-81.6094155
615503,31.8787867,-81.2531176
616100,32.454055,-81.7466538
616107,32.2691774,-81.7590545
616198,32.4902227,-81.8134694
616199,32.3971509,-81.8090283
616200,32.3868142,-81.6703656
616203,32.363701,-81.678629
616299,32.3974424,-81.8094554
616300,32.3614937,-81.6813937
616399,32.5325097,-81.9349823
617104,33.07981,-81.991403
617188,33.0818874,-81.995013
617196,32.9837208,-81.7745153
617288,33.0853319,-81.9923827
618100,33.2856741,-83.98228
618104,33.2951113,-84.0184773
618108,33.3078603,-83.9531744
618111,33.2736394,-83.9630156
618190,33.2893852,-83.9831067
619113,31.5641874,-84.7269573
619179,31.4505494,-84.7088996
619213,31.5641874,-84.7269573
620100,30.8480343,-81.6772749
620105,30.7529828,-81.5746487
620110,30.72804,-81.5463586
620182,30.7947903,-81.6436633
